time_ms,sent,received,retransmissions,avg_rtt_ms,snapshots_received,client_idx
1765558293167,1,3,0,0,1,4
1765558294168,20,58,1,0,39,4
1765558295169,40,129,4,1,89,4
1765558296169,60,187,5,1,127,4
1765558300099,80,238,8,0,160,4
1765558301099,100,309,13,0,210,4
1765558302100,120,401,16,0,280,4
1765558303101,140,462,17,1,321,4
1765558304102,160,517,18,1,358,4
1765558305103,180,589,20,1,411,4
1765558306104,200,646,24,1,447,4
1765558307104,219,699,28,1,481,4
1765558308105,239,761,32,1,522,4
1765558309106,259,821,33,1,562,4
1765558310106,279,891,35,1,612,4
1765558311107,299,957,37,1,659,4
1765558312108,319,1020,40,1,700,4
1765558313108,339,1077,40,1,738,4
1765558314109,359,1143,44,1,783,4
1765558315110,379,1202,44,1,824,4
1765558316111,399,1264,45,1,866,4
1765558317111,418,1335,50,1,919,4
1765558318113,438,1397,54,2,960,4
1765558319143,459,1480,57,2,1021,4
1765558320144,479,1538,60,2,1058,4
1765558321145,499,1595,60,2,1095,4
1765558322146,519,1669,60,2,1151,4
1765558323146,519,1675,62,2,1155,4
