time_ms,sent,received,retransmissions,avg_rtt_ms,snapshots_received,client_idx
1765558293077,1,1,0,1,0,2
1765558294078,20,50,1,3,31,2
1765558295079,40,120,3,3,81,2
1765558296079,60,190,6,2,130,2
1765558300009,80,250,9,2,172,2
1765558301009,100,323,13,3,222,2
1765558302010,120,384,13,3,263,2
1765558303011,140,449,14,3,308,2
1765558304012,160,546,15,3,385,2
1765558305013,180,606,15,4,425,2
1765558306013,200,674,17,4,474,2
1765558307014,220,734,20,4,514,2
1765558308015,240,813,24,4,575,2
1765558309015,259,880,27,4,620,2
1765558310016,279,939,28,4,660,2
1765558311017,299,1022,29,4,723,2
1765558312018,319,1072,33,4,753,2
1765558313018,339,1117,35,4,778,2
1765558314019,359,1183,37,4,826,2
1765558315020,379,1252,41,4,873,2
1765558316021,399,1313,43,4,916,2
1765558317021,418,1362,46,4,943,2
1765558318022,438,1421,47,4,983,2
1765558319023,458,1481,49,4,1024,2
1765558320023,478,1545,52,5,1067,2
1765558321024,498,1611,54,5,1113,2
1765558322024,518,1673,55,5,1155,2
1765558323025,519,1687,56,5,1167,2
