time_ms,sent,received,retransmissions,avg_rtt_ms,snapshots_received,client_idx
1765558293125,1,3,0,1,1,3
1765558294125,20,56,2,1,37,3
1765558295126,40,123,4,3,82,3
1765558296126,60,181,4,2,122,3
1765558300056,80,253,8,2,173,3
1765558301057,100,328,10,2,227,3
1765558302058,120,396,11,3,276,3
1765558303059,140,448,12,4,307,3
1765558304059,160,512,12,4,351,3
1765558305060,180,572,12,4,391,3
1765558306061,200,641,12,4,442,3
1765558307062,220,694,14,4,474,3
1765558308063,239,772,15,4,532,3
1765558309063,259,844,17,4,585,3
1765558310064,279,901,18,4,621,3
1765558311065,299,960,20,4,662,3
1765558312066,319,1026,25,4,707,3
1765558313067,339,1116,27,4,777,3
1765558314067,359,1175,28,3,817,3
1765558315068,379,1241,30,3,863,3
1765558316070,399,1314,33,3,915,3
1765558317071,419,1360,36,3,942,3
1765558318071,439,1422,40,3,983,3
1765558319143,460,1464,43,3,1007,3
1765558320144,480,1511,49,3,1032,3
1765558321145,500,1596,51,3,1097,3
1765558322146,519,1648,54,3,1128,3
