time_ms,sent,received,retransmissions,avg_rtt_ms,snapshots_received,client_idx
1765558293029,1,0,0,0,0,1
1765558294029,10,21,1,2,9,1
1765558295030,30,92,3,3,63,1
1765558296031,50,157,6,3,107,1
1765558299961,70,229,9,3,157,1
1765558300961,90,285,9,3,194,1
1765558301962,110,345,10,3,233,1
1765558302963,130,418,10,3,287,1
1765558303963,150,487,11,3,335,1
1765558304964,170,551,11,3,380,1
1765558305965,190,638,12,3,447,1
1765558306966,210,701,13,3,490,1
1765558307967,230,760,17,3,529,1
1765558308968,249,819,20,3,569,1
1765558309969,269,884,21,3,616,1
1765558310969,289,956,26,3,668,1
1765558311970,309,1034,33,3,723,1
1765558312971,329,1110,37,3,781,1
1765558313971,349,1171,41,3,821,1
1765558314972,369,1238,45,2,869,1
1765558315973,389,1287,48,2,900,1
1765558316974,409,1358,53,2,948,1
1765558317975,429,1420,56,3,992,1
1765558318975,449,1477,60,3,1027,1
1765558319976,468,1535,61,3,1067,1
1765558320976,488,1589,63,2,1100,1
1765558321977,508,1643,64,3,1135,1
1765558322978,509,1659,66,3,1148,1
