time_ms,sent,received,retransmissions,avg_rtt_ms,snapshots_received,client_idx
1765558330032,1,0,0,0,0,1
1765558331033,17,33,0,202,20,1
1765558334968,36,86,4,186,52,1
1765558335969,56,139,4,190,81,1
1765558336969,76,186,4,191,109,1
1765558337970,96,233,4,194,136,1
1765558338971,116,280,4,195,164,1
1765558339972,136,330,4,196,193,1
1765558340973,156,377,4,196,220,1
1765558341973,176,425,4,197,248,1
1765558342974,196,474,4,197,277,1
1765558343975,216,521,4,197,304,1
1765558344976,236,569,4,198,332,1
1765558345977,256,617,4,198,361,1
1765558346978,275,667,4,198,391,1
1765558347979,295,716,4,198,420,1
1765558348980,315,765,4,198,449,1
1765558349981,335,812,4,199,476,1
1765558350981,355,859,4,199,503,1
1765558351983,375,908,4,199,532,1
1765558352983,395,957,4,199,561,1
1765558353984,415,1005,4,199,589,1
1765558354985,435,1052,4,199,617,1
1765558355985,455,1100,4,199,644,1
1765558356986,475,1148,4,199,672,1
1765558357987,495,1197,4,200,701,1
1765558358987,515,1243,4,200,728,1
1765558359989,515,1258,4,200,738,1
