time_ms,sent,received,retransmissions,avg_rtt_ms,snapshots_received,client_idx
1765558330186,1,0,0,0,0,4
1765558331187,17,34,0,199,21,4
1765558335122,36,85,3,374,49,4
1765558336122,56,133,3,307,77,4
1765558337123,76,182,3,278,106,4
1765558338124,96,228,3,262,132,4
1765558339125,116,277,3,251,161,4
1765558340126,136,325,3,243,189,4
1765558341126,156,372,3,238,216,4
1765558342127,176,425,3,233,249,4
1765558343129,196,473,3,230,277,4
1765558344130,216,523,3,227,307,4
1765558345131,236,571,3,225,336,4
1765558346131,256,617,3,223,361,4
1765558347132,275,665,3,222,390,4
1765558348133,295,712,3,220,416,4
1765558349134,315,761,3,219,445,4
1765558350135,335,807,3,218,472,4
1765558351136,355,858,3,217,502,4
1765558352136,375,902,3,216,527,4
1765558353138,395,953,3,216,558,4
1765558354138,415,998,3,215,583,4
1765558355139,435,1048,3,214,613,4
1765558356140,455,1096,3,213,641,4
1765558357141,475,1144,3,213,670,4
1765558358141,495,1194,3,213,699,4
1765558359142,515,1242,3,212,727,4
1765558360143,515,1250,3,212,731,4
