time_ms,sent,received,retransmissions,avg_rtt_ms,snapshots_received,client_idx
1765558256669,2,3,0,1,1,4
1765558257669,21,94,0,1,72,4
1765558258670,41,179,1,2,138,4
1765558259670,61,265,2,2,203,4
1765558260671,81,332,2,2,250,4
1765558264605,101,425,3,2,323,4
1765558265606,121,516,3,3,394,4
1765558266607,141,580,3,3,439,4
1765558267608,161,673,4,3,511,4
1765558268608,181,750,5,4,568,4
1765558269609,201,825,7,4,625,4
1765558270609,221,890,8,4,669,4
1765558271610,240,967,8,4,726,4
1765558272611,260,1057,9,4,796,4
1765558273611,280,1132,9,5,851,4
1765558274612,300,1208,9,5,908,4
1765558275613,320,1273,10,5,952,4
1765558276614,340,1361,12,5,1021,4
1765558277614,360,1437,13,5,1078,4
1765558278615,380,1525,15,7,1144,4
1765558279617,400,1597,15,6,1197,4
1765558280618,420,1674,16,6,1253,4
1765558281619,440,1748,17,6,1307,4
1765558282619,460,1834,17,6,1373,4
1765558283620,480,1921,17,6,1440,4
1765558284621,499,1994,18,6,1494,4
1765558285622,519,2075,18,6,1556,4
1765558286623,520,2078,19,6,1557,4
