time_ms,sent,received,retransmissions,avg_rtt_ms,snapshots_received,client_idx
1765558256604,1,3,0,1,1,3
1765558257605,20,89,1,0,68,3
1765558258605,40,178,1,0,137,3
1765558259606,60,243,1,1,183,3
1765558260607,80,317,2,1,236,3
1765558264541,100,397,2,1,296,3
1765558265542,120,417,2,1,296,3
1765558266543,140,449,2,1,308,3
1765558267543,160,544,2,1,383,3
1765558268544,180,644,2,1,463,3
1765558269545,200,732,2,1,531,3
1765558270546,219,807,2,1,588,3
1765558271546,239,897,5,1,658,3
1765558272547,259,977,6,1,717,3
1765558273548,279,1052,6,1,773,3
1765558274549,299,1141,8,1,841,3
1765558275550,319,1207,8,1,887,3
1765558276551,339,1285,8,1,945,3
1765558277551,359,1364,8,1,1007,3
1765558278552,379,1446,12,2,1066,3
1765558279554,399,1543,13,2,1143,3
1765558280555,419,1615,13,2,1196,3
1765558281567,439,1693,14,2,1254,3
1765558282568,459,1780,17,2,1321,3
1765558283569,479,1856,18,2,1376,3
1765558284569,498,1927,18,2,1428,3
1765558285571,518,1998,18,2,1479,3
1765558286571,519,2002,18,2,1482,3
