time_ms,sent,received,retransmissions,avg_rtt_ms,snapshots_received,client_idx
1765558256551,1,1,0,1,0,1
1765558257552,21,69,1,4,47,1
1765558258552,41,143,2,4,101,1
1765558259553,61,222,2,3,160,1
1765558260554,81,308,2,3,226,1
1765558264488,101,387,3,3,287,1
1765558265489,121,479,4,3,357,1
1765558266490,141,564,5,3,424,1
1765558267490,160,652,8,4,491,1
1765558268491,180,743,9,4,562,1
1765558269511,201,841,12,4,640,1
1765558270514,221,918,12,4,698,1
1765558271514,241,994,15,5,753,1
1765558272515,260,1076,15,5,815,1
1765558273515,280,1145,15,5,864,1
1765558274517,300,1226,15,5,925,1
1765558275517,320,1305,15,6,985,1
1765558276518,340,1383,19,6,1043,1
1765558277519,360,1461,20,6,1100,1
1765558278520,380,1545,22,7,1164,1
1765558279521,400,1620,22,6,1221,1
1765558280522,420,1710,25,6,1290,1
1765558281567,441,1777,26,6,1335,1
1765558282568,461,1852,26,6,1390,1
1765558283569,481,1915,26,6,1435,1
1765558284569,500,2001,27,6,1501,1
1765558285571,519,2073,29,6,1554,1
