time_ms,sent,received,retransmissions,avg_rtt_ms,snapshots_received,client_idx
1765558256558,1,3,0,4,1,2
1765558257558,21,100,1,3,79,2
1765558258559,40,196,2,3,155,2
1765558259560,60,275,2,2,215,2
1765558260560,80,337,3,2,257,2
1765558264495,100,426,5,2,325,2
1765558265495,120,482,5,2,361,2
1765558266496,140,558,5,1,418,2
1765558267497,160,650,8,1,489,2
1765558268497,180,722,9,1,541,2
1765558269511,200,799,9,1,599,2
1765558270513,220,866,10,1,645,2
1765558271513,240,955,10,1,714,2
1765558272514,260,1043,10,1,783,2
1765558273515,280,1125,11,1,845,2
1765558274516,299,1198,11,1,898,2
1765558275518,319,1287,11,1,967,2
1765558276518,339,1366,11,1,1026,2
1765558277519,359,1453,12,1,1094,2
1765558278520,379,1541,14,2,1161,2
1765558279521,399,1615,15,2,1215,2
1765558280522,419,1696,16,2,1277,2
1765558281567,440,1771,16,2,1330,2
1765558282568,460,1844,16,2,1383,2
1765558283568,480,1929,16,2,1449,2
1765558284569,499,2014,18,2,1514,2
1765558285571,519,2092,18,2,1572,2
