time_ms,sent,received,retransmissions,avg_rtt_ms,snapshots_received,client_idx
1765575904598,1,3,0,4,1,4
1765575905599,21,93,0,10,72,4
1765575906599,40,177,1,7,136,4
1765575907600,60,248,2,7,190,4
1765575908600,80,293,4,36,212,4
1765575909601,100,370,4,31,270,4
1765575910601,120,448,5,26,327,4
1765575911602,140,525,5,23,384,4
1765575912603,160,612,5,21,453,4
1765575913603,180,694,7,19,514,4
1765575914604,200,766,9,18,566,4
1765575915604,220,822,9,18,611,4
1765575916634,240,863,28,31,640,4
1765575917669,260,889,72,34,657,4
1765575919003,287,905,182,34,673,4
1765575920004,307,921,308,38,685,4
1765575921007,327,1023,421,83,712,4
1765575922008,345,1084,431,92,730,4
1765575923101,367,1098,448,93,740,4
1765575924101,386,1151,458,106,754,4
1765575925110,407,1171,474,114,763,4
1765575926111,426,1189,516,116,775,4
1765575928508,474,1281,701,134,794,4
1765575929508,494,1304,708,134,798,4
1765575931293,529,1365,781,141,813,4
1765575932293,549,1407,791,143,832,4
1765575933294,569,1468,797,143,865,4
1765575934309,575,1493,797,144,880,4
