client,mean_rtt,snapshots,retrans
1.0,62.142857142857146,1013.0,795.0
2.0,60.964285714285715,935.0,765.0
3.0,66.10714285714286,972.0,787.0
4.0,64.28571428571429,880.0,797.0
,,,
