client_id snapshot_id seq_num server_timestamp_ms recv_time_ms cpu_percent perceived_position_error bandwidth_per_client_kbps
1 0 0 1765575904356 1765575904358 0.0 0.0 125.42904459912349
2 0 0 1765575904459 1765575904462 38.1 0.0 1255.6100748401925
2 0 1 1765575904459 1765575904481 37.5 0.0 190.4466421770486
2 0 2 1765575904459 1765575904483 0.0 0.0 172.14348102487347
2 0 3 1765575904460 1765575904485 50.0 0.0 158.43771533184096
1 0 1 1765575904459 1765575904487 0.0 0.0 31.6889216072623
1 0 2 1765575904459 1765575904489 0.0 0.0 31.258744225882992
1 0 3 1765575904460 1765575904491 0.0 0.0 30.846293230946767
2 0 4 1765575904508 1765575904511 37.5 0.0 115.50763816899284
1 0 4 1765575904508 1765575904515 0.0 0.0 37.701496475531656
1 0 5 1765575904520 1765575904530 57.1 0.0 45.29616320869657
2 0 5 1765575904520 1765575904535 0.0 0.0 103.89479323905054
2 0 6 1765575904564 1765575904566 42.9 0.0 90.63371140674454
1 0 6 1765575904564 1765575904569 100.0 0.0 45.620667449433874
1 0 7 1765575904571 1765575904576 0.0 0.0 60.93253097345133
2 0 7 1765575904571 1765575904580 0.0 0.0 111.22789480824748
3 0 0 1765575904572 1765575904582 0.0 0.0 238.3021858304868
3 0 1 1765575904573 1765575904584 100.0 0.0 200.43883522116576
1 0 8 1765575904573 1765575904586 0.0 0.0 58.48126037924431
2 0 8 1765575904573 1765575904587 0.0 0.0 104.8981614544589
3 0 2 1765575904573 1765575904589 0.0 0.0 138.49625593418835
4 0 0 1765575904593 1765575904596 66.7 0.0 465.67570341913176
4 0 1 1765575904593 1765575904598 0.0 0.0 321.4942428803501
1 0 9 1765575904594 1765575904600 0.0 0.0 62.686653218434806
2 0 9 1765575904594 1765575904601 0.0 0.0 107.58861725618107
3 0 3 1765575904594 1765575904603 0.0 0.0 136.19610053132646
4 0 2 1765575904594 1765575904605 0.0 0.0 165.28995104656713
1 0 10 1765575904614 1765575904617 0.0 0.0 65.61235178611474
2 0 10 1765575904614 1765575904621 0.0 0.0 106.18130841507546
3 0 4 1765575904614 1765575904623 0.0 0.0 119.92599008942302
4 0 3 1765575904614 1765575904624 0.0 0.0 123.69531643670842
1 0 11 1765575904633 1765575904636 0.0 0.0 74.33102477261767
2 0 11 1765575904633 1765575904639 0.0 0.0 116.21488814135326
3 0 5 1765575904633 1765575904640 0.0 0.0 142.84525260779225
4 0 4 1765575904633 1765575904646 0.0 0.0 143.57814870805748
1 0 12 1765575904635 1765575904650 0.0 0.0 71.03440664064719
2 0 12 1765575904635 1765575904651 0.0 0.0 108.54111798568465
3 0 6 1765575904635 1765575904653 0.0 0.0 120.78150508731248
4 0 5 1765575904635 1765575904654 0.0 0.0 123.58698854288193
1 0 13 1765575904656 1765575904659 0.0 0.0 74.93702691748355
2 0 13 1765575904656 1765575904662 0.0 0.0 112.10525294086518
3 0 7 1765575904656 1765575904664 100.0 0.0 126.60796871020747
4 0 6 1765575904656 1765575904666 0.0 0.0 129.91608577136967
1 0 14 1765575904667 1765575904672 0.0 0.0 83.64880087497643
3 0 8 1765575904667 1765575904673 0.0 0.0 151.2646980603413
4 0 7 1765575904668 1765575904678 0.0 0.0 153.1741446281104
1 0 15 1765575904669 1765575904682 0.0 0.0 81.00660760618032
2 0 15 1765575904669 1765575904684 0.0 0.0 117.55762500463776
3 0 9 1765575904669 1765575904686 0.0 0.0 135.07378369972582
4 0 8 1765575904669 1765575904687 0.0 0.0 139.46237616888288
2 0 16 1765575904689 1765575904695 0.0 0.0 120.09324166682688
1 0 16 1765575904689 1765575904697 0.0 0.0 83.00823912231546
3 0 10 1765575904689 1765575904698 0.0 0.0 136.20034788927492
4 0 9 1765575904689 1765575904700 0.0 0.0 140.2059053610121
1 0 17 1765575904701 1765575904704 0.0 0.0 86.54529853545905
2 0 17 1765575904701 1765575904706 0.0 0.0 122.25638869415084
4 0 10 1765575904702 1765575904707 0.0 0.0 147.0062431372549
3 0 11 1765575904702 1765575904711 0.0 0.0 136.99262102357727
1 0 18 1765575904715 1765575904718 0.0 0.0 88.45502174753828
2 0 18 1765575904715 1765575904720 0.0 0.0 122.89043077787757
3 0 12 1765575904715 1765575904721 50.0 0.0 140.2765569175648
4 0 11 1765575904715 1765575904723 0.0 0.0 144.0494515244062
1 0 19 1765575904725 1765575904730 0.0 0.0 95.4961318405344
2 0 19 1765575904725 1765575904732 50.0 0.0 124.1485828403608
3 0 13 1765575904725 1765575904734 0.0 0.0 152.29375249939076
4 0 12 1765575904725 1765575904735 0.0 0.0 157.06663939050432
3 0 14 1765575904726 1765575904738 0.0 0.0 148.3178146846659
1 0 20 1765575904726 1765575904740 0.0 0.0 92.95277484936021
4 0 13 1765575904726 1765575904745 0.0 0.0 147.14766194122006
1 0 21 1765575904748 1765575904751 33.3 0.0 95.10650076517189
4 0 14 1765575904748 1765575904752 0.0 0.0 151.98151322414424
3 0 15 1765575904748 1765575904754 0.0 0.0 145.59463842055652
1 0 22 1765575904765 1765575904768 0.0 0.0 95.72276613496933
3 0 16 1765575904765 1765575904770 0.0 0.0 143.48619807237537
4 0 15 1765575904765 1765575904771 0.0 0.0 146.4469573048902
1 0 23 1765575904773 1765575904778 0.0 0.0 102.19420036741764
3 0 17 1765575904773 1765575904780 0.0 0.0 154.4414076546988
4 0 16 1765575904773 1765575904781 100.0 0.0 158.15705848852028
1 0 24 1765575904775 1765575904784 0.0 0.0 100.62415091032636
3 0 18 1765575904775 1765575904786 0.0 0.0 149.6724878752507
4 0 17 1765575904775 1765575904788 0.0 0.0 152.86840326801573
1 0 25 1765575904791 1765575904794 33.3 0.0 102.61852088458768
3 0 19 1765575904791 1765575904798 0.0 0.0 150.26184510439498
4 0 18 1765575904791 1765575904800 0.0 0.0 153.083979794248
1 0 26 1765575904816 1765575904818 0.0 0.0 101.24339281053933
3 0 20 1765575904816 1765575904820 0.0 0.0 144.19616737166808
4 0 19 1765575904816 1765575904822 0.0 0.0 146.56385437299943
1 0 27 1765575904824 1765575904829 25.0 0.0 106.90148200723067
3 0 21 1765575904824 1765575904831 0.0 0.0 152.72591516817047
4 0 20 1765575904824 1765575904832 0.0 0.0 155.55372458418378
1 0 28 1765575904825 1765575904835 0.0 0.0 105.46949115582662
3 0 22 1765575904826 1765575904837 0.0 0.0 148.99122512575852
4 0 21 1765575904826 1765575904839 0.0 0.0 151.54386705346266
1 0 29 1765575904841 1765575904845 0.0 0.0 107.14686688006815
3 0 23 1765575904841 1765575904847 0.0 0.0 150.39512650601884
4 0 22 1765575904842 1765575904849 0.0 0.0 152.79335809342035
1 0 30 1765575904866 1765575904869 0.0 0.0 105.77126064545203
3 0 24 1765575904866 1765575904870 0.0 0.0 144.72012054954905
4 0 23 1765575904866 1765575904872 0.0 0.0 146.58072276323463
2 0 14 1765575904667 1765575904874 0.0 0.0 81.61430822987121
2 0 20 1765575904879 1765575904881 0.0 0.0 84.59633873422153
3 0 25 1765575904879 1765575904883 0.0 0.0 144.83016128673341
4 0 24 1765575904879 1765575904885 0.0 0.0 146.6638989621789
1 0 32 1765575904892 1765575904895 20.0 0.0 107.55514924291433
3 0 26 1765575904892 1765575904897 0.0 0.0 144.3136200861498
4 0 25 1765575904892 1765575904899 0.0 0.0 146.13055024349455
2 0 21 1765575904892 1765575904900 0.0 0.0 85.18456885860203
1 0 33 1765575904916 1765575904919 0.0 0.0 106.21964401666706
2 0 22 1765575904916 1765575904921 0.0 0.0 85.42159777580251
3 0 27 1765575904916 1765575904922 0.0 0.0 139.19472227744393
4 0 26 1765575904916 1765575904924 0.0 0.0 140.5932741166792
1 0 34 1765575904928 1765575904932 0.0 0.0 110.19429077838292
2 0 23 1765575904928 1765575904934 0.0 0.0 90.83035814634023
3 0 28 1765575904928 1765575904936 0.0 0.0 144.30862948597292
4 0 27 1765575904928 1765575904938 0.0 0.0 145.78023886789106
1 0 35 1765575904930 1765575904940 0.0 0.0 108.71904173565515
2 0 24 1765575904930 1765575904947 0.0 0.0 88.4951115075546
3 0 29 1765575904930 1765575904948 0.0 0.0 139.50039264768952
4 0 28 1765575904930 1765575904950 0.0 0.0 140.81773797508274
2 0 25 1765575904951 1765575904954 50.0 0.0 90.89317635455835
1 0 36 1765575904951 1765575904956 0.0 0.0 109.00411721888217
3 0 30 1765575904951 1765575904958 0.0 0.0 140.89557610057832
4 0 29 1765575904951 1765575904962 0.0 0.0 141.1706575567088
2 0 26 1765575904966 1765575904969 0.0 0.0 91.86321701370224
3 0 31 1765575904967 1765575904971 0.0 0.0 140.9169145005575
4 0 30 1765575904967 1765575904972 0.0 0.0 142.27086716638493
2 0 27 1765575904974 1765575904979 33.3 0.0 97.20493183064974
3 0 32 1765575904974 1765575904981 0.0 0.0 146.46571543300388
4 0 31 1765575904974 1765575904983 0.0 0.0 147.94131005225228
2 0 28 1765575904976 1765575904986 0.0 0.0 96.04736972639091
3 0 33 1765575904976 1765575904987 0.0 0.0 144.15930517041267
4 0 32 1765575904977 1765575904990 50.0 0.0 145.38369300379006
2 0 29 1765575904992 1765575904995 0.0 0.0 97.75943934978261
3 0 34 1765575904992 1765575904997 0.0 0.0 145.17360117123738
4 0 33 1765575904993 1765575904999 0.0 0.0 146.55105411257813
2 0 30 1765575905017 1765575905020 0.0 0.0 96.79016308777133
3 0 35 1765575905017 1765575905022 0.0 0.0 141.43543926217367
4 0 34 1765575905017 1765575905024 0.0 0.0 142.42085928195613
2 0 31 1765575905031 1765575905034 0.0 0.0 97.70008865113296
3 0 36 1765575905031 1765575905035 0.0 0.0 141.2977164524603
4 0 35 1765575905031 1765575905037 100.0 0.0 142.41099364521767
2 0 32 1765575905043 1765575905046 0.0 0.0 98.79665390922048
3 0 37 1765575905043 1765575905048 100.0 0.0 141.4549600805738
4 0 36 1765575905043 1765575905050 0.0 0.0 142.41765481386665
2 0 33 1765575905067 1765575905070 0.0 0.0 98.00133044064556
3 0 38 1765575905067 1765575905073 0.0 0.0 141.64568991837953
4 0 37 1765575905067 1765575905080 0.0 0.0 141.17763338124564
2 0 34 1765575905072 1765575905085 0.0 0.0 101.52280892885977
3 0 39 1765575905072 1765575905087 0.0 0.0 141.5203325932593
4 0 38 1765575905072 1765575905089 0.0 0.0 142.49410964344463
1 0 31 1765575904879 1765575905091 0.0 0.0 89.00786951224102
2 0 35 1765575905082 1765575905097 0.0 0.0 99.61358571219857
3 0 40 1765575905082 1765575905099 0.0 0.0 138.29773131736633
4 0 39 1765575905082 1765575905101 0.0 0.0 139.17299560550822
1 0 37 1765575905102 1765575905105 0.0 0.0 89.77182465429512
3 0 41 1765575905103 1765575905107 0.0 0.0 139.73898174191945
2 0 36 1765575905102 1765575905114 0.0 0.0 99.87525010765611
4 0 40 1765575905103 1765575905116 0.0 0.0 138.72664093863278
1 0 38 1765575905118 1765575905122 0.0 0.0 92.63164293465815
2 0 37 1765575905118 1765575905124 0.0 0.0 103.97701121949925
3 0 42 1765575905118 1765575905129 0.0 0.0 140.9501430566836
4 0 41 1765575905118 1765575905131 0.0 0.0 141.6686491401463
1 0 39 1765575905119 1765575905133 50.0 0.0 91.28278373782732
2 0 38 1765575905119 1765575905135 0.0 0.0 102.2540980665648
3 0 43 1765575905119 1765575905137 0.0 0.0 138.92921588658115
4 0 42 1765575905119 1765575905138 0.0 0.0 139.7692960821093
1 0 40 1765575905140 1765575905143 0.0 0.0 92.5056116735561
3 0 44 1765575905140 1765575905145 0.0 0.0 140.19556750760003
2 0 39 1765575905140 1765575905147 0.0 0.0 103.25794125230158
4 0 43 1765575905140 1765575905148 0.0 0.0 140.68213000693
1 0 41 1765575905150 1765575905153 0.0 0.0 93.70055311062367
2 0 40 1765575905150 1765575905155 0.0 0.0 104.7289174339602
