time_ms,sent,received,retransmissions,avg_rtt_ms,snapshots_received,client_idx
1765575904570,1,0,0,0,0,3
1765575905571,20,84,0,11,63,3
1765575906571,40,163,0,13,122,3
1765575907572,60,261,0,14,201,3
1765575908581,80,335,0,44,254,3
1765575909581,100,413,1,38,313,3
1765575910582,120,494,3,33,373,3
1765575911582,140,576,3,29,436,3
1765575912583,160,654,5,26,495,3
1765575913584,180,745,10,23,564,3
1765575914585,200,820,11,21,620,3
1765575915585,220,879,11,21,668,3
1765575916621,240,920,32,34,697,3
1765575917669,261,947,74,37,713,3
1765575919001,288,966,185,39,730,3
1765575920002,307,982,307,43,741,3
1765575921004,327,1084,402,83,769,3
1765575922104,349,1164,421,92,807,3
1765575923119,369,1193,440,94,829,3
1765575924120,389,1240,450,105,839,3
1765575925168,410,1260,469,113,848,3
1765575926199,430,1272,516,116,853,3
1765575928508,476,1365,690,133,864,3
1765575929508,496,1404,695,132,889,3
1765575930964,521,1442,755,136,905,3
1765575931965,535,1473,777,138,916,3
1765575933019,555,1542,786,141,951,3
1765575934063,566,1579,787,142,972,3
