time_ms,sent,received,retransmissions,avg_rtt_ms,snapshots_received,client_idx
1765575904479,1,4,0,3,2,2
1765575905481,21,85,0,1,64,2
1765575906486,41,155,1,4,113,2
1765575907487,61,231,1,5,170,2
1765575908488,81,288,1,31,207,2
1765575909488,100,376,1,26,276,2
1765575910489,120,455,3,22,334,2
1765575911489,140,530,3,19,389,2
1765575912490,160,601,3,17,441,2
1765575913491,180,679,4,15,498,2
1765575914493,200,755,4,14,555,2
1765575915494,220,800,5,14,587,2
1765575916510,240,828,22,30,602,2
1765575917569,261,861,61,32,625,2
1765575919001,289,877,177,34,639,2
1765575920002,309,893,299,38,650,2
1765575921004,329,1000,391,80,678,2
1765575922005,349,1069,406,88,709,2
1765575923100,371,1098,425,90,733,2
1765575924101,391,1158,436,102,754,2
1765575925110,411,1190,453,110,775,2
1765575926111,431,1214,493,113,789,2
1765575928509,478,1321,664,132,819,2
1765575929510,498,1361,671,132,846,2
1765575930964,527,1408,731,136,867,2
1765575931965,547,1456,752,138,887,2
1765575933019,568,1515,764,140,913,2
1765575934060,577,1552,765,141,935,2
