time_ms,sent,received,retransmissions,avg_rtt_ms,snapshots_received,client_idx
1765575904365,1,1,0,1,0,1
1765575905366,20,67,0,6,49,1
1765575906366,40,155,4,8,115,1
1765575907367,60,245,5,7,184,1
1765575908367,80,295,6,30,217,1
1765575909368,100,376,8,26,275,1
1765575910368,120,460,8,22,340,1
1765575911369,140,540,10,19,399,1
1765575912375,160,639,11,17,478,1
1765575913376,180,738,11,15,557,1
1765575914376,200,797,13,14,596,1
1765575915377,219,849,13,14,634,1
1765575916465,241,890,30,29,664,1
1765575917482,261,919,67,31,683,1
1765575918781,287,938,163,33,701,1
1765575920045,312,957,315,40,713,1
1765575921047,332,1055,408,81,736,1
1765575922104,352,1133,429,90,773,1
1765575923119,372,1158,446,91,793,1
1765575924120,392,1211,458,102,814,1
1765575925168,413,1245,476,112,836,1
1765575926199,433,1265,522,115,849,1
1765575928508,479,1377,693,133,879,1
1765575929508,499,1414,701,133,904,1
1765575931293,534,1482,774,139,929,1
1765575932293,554,1534,786,143,957,1
1765575933294,574,1593,794,144,993,1
1765575934309,575,1621,795,145,1013,1
