client,mean_rtt,snapshots,retrans
1.0,14.733333333333333,1360.0,72.0
2.0,19.233333333333334,1271.0,58.0
3.0,18.566666666666666,1273.0,76.0
4.0,17.333333333333332,1211.0,55.0
,,,
