time_ms,sent,received,retransmissions,avg_rtt_ms,snapshots_received,client_idx
1765575946730,1,3,0,1,1,3
1765575947730,21,45,3,44,25,3
1765575948758,41,118,6,33,76,3
1765575949758,61,196,7,23,134,3
1765575950759,81,253,8,18,174,3
1765575952066,107,332,14,35,224,3
1765575953067,127,398,15,29,270,3
1765575954068,147,457,19,28,310,3
1765575955069,166,529,23,25,362,3
1765575956070,186,593,26,22,408,3
1765575957074,206,672,29,20,465,3
1765575958074,226,739,31,18,511,3
1765575959075,246,801,32,17,554,3
1765575960075,266,862,33,16,597,3
1765575961077,286,901,37,15,615,3
1765575962077,306,969,41,14,663,3
1765575963078,326,1048,45,14,720,3
1765575964079,346,1103,46,16,755,3
1765575965079,365,1141,46,17,777,3
1765575966088,386,1187,51,16,801,3
1765575967088,405,1251,53,15,845,3
1765575968089,425,1330,54,15,904,3
1765575969089,445,1396,55,15,950,3
1765575970090,465,1455,60,14,988,3
1765575971090,485,1513,63,14,1030,3
1765575972091,505,1593,67,13,1088,3
1765575973091,525,1673,71,13,1146,3
1765575974092,545,1745,72,13,1201,3
1765575975094,564,1810,76,12,1244,3
1765575976095,577,1852,76,12,1273,3
