time_ms,sent,received,retransmissions,avg_rtt_ms,snapshots_received,client_idx
1765575946765,1,3,0,2,1,4
1765575947765,20,63,1,42,44,4
1765575948766,40,136,3,34,95,4
1765575949766,60,200,3,23,140,4
1765575950767,80,262,5,18,183,4
1765575952067,106,353,7,29,246,4
1765575953067,126,412,7,24,287,4
1765575954068,146,462,10,24,315,4
1765575955069,166,515,10,21,349,4
1765575956070,186,572,12,19,387,4
1765575957074,205,640,15,17,436,4
1765575958074,225,697,18,16,473,4
1765575959075,245,765,21,14,520,4
1765575960075,265,828,22,13,563,4
1765575961077,285,893,26,13,608,4
1765575962077,305,971,27,12,666,4
1765575963078,325,1032,31,11,707,4
1765575964079,345,1075,32,15,731,4
1765575965079,364,1133,33,16,769,4
1765575966088,384,1195,35,16,811,4
1765575967088,404,1264,36,15,859,4
1765575968089,424,1320,36,15,895,4
1765575969089,444,1382,37,15,937,4
1765575970090,464,1451,39,14,987,4
1765575971090,484,1512,40,14,1028,4
1765575972091,504,1587,43,14,1085,4
1765575973091,524,1650,45,14,1129,4
1765575974092,544,1703,49,14,1160,4
1765575975094,563,1741,52,13,1179,4
1765575976095,577,1788,55,13,1211,4
