client_id snapshot_id seq_num server_timestamp_ms recv_time_ms cpu_percent perceived_position_error bandwidth_per_client_kbps
1 0 0 1765575946590 1765575946592 0.0 0.0 131.49709837837838
2 0 0 1765575946678 1765575946681 50.0 0.0 1206.6440552181116
1 0 1 1765575946678 1765575946687 0.0 0.0 42.85746278440919
1 0 2 1765575946678 1765575946690 50.0 0.0 41.497499429114
2 0 1 1765575946678 1765575946692 100.0 0.0 284.8043249160992
2 0 2 1765575946679 1765575946695 0.0 0.0 249.0896523659576
1 0 3 1765575946680 1765575946696 100.0 0.0 39.08010361832546
2 0 3 1765575946680 1765575946699 0.0 0.0 200.85087227564657
2 0 4 1765575946701 1765575946702 50.0 0.0 249.00941475144873
1 0 4 1765575946700 1765575946706 0.0 0.0 51.72291190324608
3 0 0 1765575946723 1765575946725 57.1 0.0 1179.5682822041113
2 0 5 1765575946724 1765575946729 50.0 0.0 153.08458747296214
3 0 2 1765575946724 1765575946731 0.0 0.0 279.9269917441256
1 0 5 1765575946724 1765575946733 100.0 0.0 54.95248228860635
3 0 3 1765575946737 1765575946740 0.0 0.0 247.77984341072087
1 0 6 1765575946737 1765575946742 0.0 0.0 64.1253743167125
1 0 7 1765575946744 1765575946747 50.0 0.0 73.62205308560657
3 0 4 1765575946744 1765575946750 50.0 0.0 222.17765512389863
2 0 7 1765575946744 1765575946754 66.7 0.0 151.85277067658606
1 0 8 1765575946762 1765575946764 50.0 0.0 77.3489226853604
2 0 8 1765575946762 1765575946765 0.0 0.0 153.49928343960312
3 0 5 1765575946762 1765575946767 0.0 0.0 179.37411412258896
4 0 0 1765575946762 1765575946769 50.0 0.0 318.51636879618985
4 0 1 1765575946762 1765575946771 0.0 0.0 240.08395058305067
4 0 2 1765575946762 1765575946775 33.3 0.0 169.40465817654558
1 0 9 1765575946777 1765575946780 0.0 0.0 80.42200613410846
2 0 9 1765575946777 1765575946782 0.0 0.0 146.57241074307322
3 0 6 1765575946777 1765575946784 0.0 0.0 159.62124600416686
1 0 10 1765575946786 1765575946789 50.0 0.0 86.0875328655035
4 0 4 1765575946786 1765575946791 0.0 0.0 205.9879936083483
1 0 11 1765575946796 1765575946800 33.3 0.0 90.64086449137672
4 0 5 1765575946796 1765575946803 0.0 0.0 191.7407237750473
1 0 12 1765575946813 1765575946816 0.0 0.0 92.26858745138544
4 0 6 1765575946813 1765575946818 0.0 0.0 173.92898896006542
1 0 13 1765575946825 1765575946828 0.0 0.0 95.51793544973864
4 0 7 1765575946825 1765575946830 0.0 0.0 170.65887429185182
4 0 8 1765575946846 1765575946849 11.1 0.0 153.76835431194763
1 0 15 1765575946863 1765575946866 16.7 0.0 95.81488868709786
1 0 16 1765575946875 1765575946877 0.0 0.0 98.45176375961854
1 0 17 1765575946881 1765575946883 0.0 0.0 102.6843440256056
1 0 18 1765575946897 1765575946899 0.0 0.0 103.35910608661912
2 0 6 1765575946737 1765575946946 5.3 0.0 70.94969925482204
1 0 19 1765575946913 1765575946949 0.0 0.0 94.33884898242752
2 0 12 1765575946949 1765575946952 0.0 0.0 76.06704917745051
2 0 13 1765575946975 1765575946977 0.0 0.0 76.037866775997
2 0 14 1765575946982 1765575946985 0.0 0.0 80.01878736961696
2 0 10 1765575946786 1765575946988 66.7 0.0 79.3007398711811
3 0 1 1765575946723 1765575946990 0.0 0.0 36.505465434195706
2 0 15 1765575946998 1765575947001 0.0 0.0 81.77261059101822
3 0 7 1765575946998 1765575947005 0.0 0.0 41.15999872000325
2 0 11 1765575946796 1765575947007 0.0 0.0 80.40739573983066
4 0 3 1765575946777 1765575947009 0.0 0.0 54.390852531891525
2 0 16 1765575947014 1765575947018 0.0 0.0 83.12096526250102
4 0 9 1765575947015 1765575947021 0.0 0.0 59.065300169219064
2 0 17 1765575947026 1765575947029 0.0 0.0 85.80758712478966
3 0 9 1765575947027 1765575947031 0.0 0.0 49.69329822964181
4 0 10 1765575947027 1765575947033 0.0 0.0 63.23088021632696
2 0 18 1765575947035 1765575947038 0.0 0.0 88.8544095073641
3 0 10 1765575947035 1765575947040 0.0 0.0 54.091336308418875
4 0 11 1765575947035 1765575947042 0.0 0.0 67.76001004520512
2 0 19 1765575947048 1765575947052 0.0 0.0 90.51877767835975
3 0 11 1765575947048 1765575947056 0.0 0.0 57.07038292215035
4 0 12 1765575947048 1765575947058 0.0 0.0 70.40236714881051
1 0 14 1765575946846 1765575947060 0.0 0.0 72.0337025679101
2 0 20 1765575947066 1765575947068 25.0 0.0 91.57684271908039
1 0 20 1765575947066 1765575947071 0.0 0.0 74.18088587958894
3 0 12 1765575947066 1765575947074 0.0 0.0 59.51308711104585
4 0 13 1765575947066 1765575947076 0.0 0.0 72.36971702304368
1 0 21 1765575947078 1765575947082 0.0 0.0 76.390514850343
2 0 21 1765575947078 1765575947084 0.0 0.0 92.5243629348752
3 0 13 1765575947078 1765575947086 0.0 0.0 62.63071291342629
4 0 14 1765575947079 1765575947088 0.0 0.0 75.30453628885901
1 0 22 1765575947098 1765575947102 0.0 0.0 77.01216966445953
2 0 22 1765575947098 1765575947105 0.0 0.0 92.37418843821578
4 0 15 1765575947098 1765575947107 0.0 0.0 76.6615150578777
1 0 23 1765575947115 1765575947118 28.6 0.0 78.10092181358002
2 0 23 1765575947115 1765575947120 0.0 0.0 93.31931372799437
4 0 16 1765575947116 1765575947122 0.0 0.0 78.48079044439287
2 0 24 1765575947127 1765575947128 0.0 0.0 95.79560732065228
1 0 24 1765575947127 1765575947130 0.0 0.0 79.84310666849626
4 0 17 1765575947127 1765575947132 0.0 0.0 81.31559877756538
1 0 25 1765575947135 1765575947138 0.0 0.0 82.1535886106721
2 0 25 1765575947135 1765575947139 0.0 0.0 97.49544790779386
4 0 18 1765575947135 1765575947142 0.0 0.0 84.12562039749525
1 0 26 1765575947149 1765575947152 0.0 0.0 83.33890608273661
2 0 26 1765575947149 1765575947155 0.0 0.0 98.24028172354119
4 0 19 1765575947149 1765575947156 0.0 0.0 85.76571268745938
1 0 27 1765575947165 1765575947168 0.0 0.0 84.18627617695716
4 0 20 1765575947166 1765575947171 0.0 0.0 87.16080819222549
1 0 28 1765575947177 1765575947180 0.0 0.0 85.72494170637032
2 0 28 1765575947177 1765575947182 0.0 0.0 100.39332515030772
4 0 21 1765575947177 1765575947183 0.0 0.0 89.11995633717679
1 0 29 1765575947185 1765575947187 0.0 0.0 87.81051874540994
2 0 29 1765575947185 1765575947189 0.0 0.0 102.53920163852167
4 0 22 1765575947185 1765575947191 0.0 0.0 91.85647918494838
1 0 30 1765575947199 1765575947202 0.0 0.0 88.6429466297144
2 0 30 1765575947199 1765575947205 0.0 0.0 102.87589340196944
4 0 23 1765575947199 1765575947207 0.0 0.0 92.63042040309811
1 0 31 1765575947216 1765575947221 0.0 0.0 88.97974900042477
2 0 31 1765575947216 1765575947223 0.0 0.0 103.06742408492931
4 0 24 1765575947217 1765575947225 0.0 0.0 93.11673139623856
3 0 8 1765575947014 1765575947227 0.0 0.0 45.07087291212782
1 0 32 1765575947230 1765575947232 0.0 0.0 90.32951924788061
2 0 32 1765575947230 1765575947234 50.0 0.0 104.24780105680962
4 0 25 1765575947230 1765575947237 0.0 0.0 94.71765415532107
1 0 33 1765575947240 1765575947243 33.3 0.0 91.69247266602548
3 0 15 1765575947240 1765575947244 0.0 0.0 50.73607825160013
4 0 26 1765575947240 1765575947246 0.0 0.0 96.73858660129754
3 0 16 1765575947267 1765575947270 0.0 0.0 51.72479548134879
4 0 27 1765575947267 1765575947272 0.0 0.0 95.37515186375894
1 0 35 1765575947278 1765575947279 0.0 0.0 92.21774107839322
3 0 17 1765575947278 1765575947281 0.0 0.0 54.07150531494161
4 0 28 1765575947278 1765575947283 0.0 0.0 97.07217825970149
1 0 36 1765575947285 1765575947288 0.0 0.0 93.72727158147308
3 0 18 1765575947285 1765575947291 0.0 0.0 56.40843367650062
4 0 29 1765575947285 1765575947294 0.0 0.0 98.5029796970665
1 0 37 1765575947300 1765575947302 40.0 0.0 94.40135094675959
4 0 30 1765575947300 1765575947305 0.0 0.0 99.8656075012326
4 0 31 1765575947317 1765575947320 0.0 0.0 100.53525217092042
1 0 38 1765575947317 1765575947322 0.0 0.0 94.41503343004608
