time_ms,sent,received,retransmissions,avg_rtt_ms,snapshots_received,client_idx
1765575946594,1,1,0,0,0,1
1765575947594,20,56,0,3,39,1
1765575948639,41,122,2,30,80,1
1765575949640,61,197,3,21,137,1
1765575950640,81,292,5,16,210,1
1765575951643,101,344,7,29,243,1
1765575952643,121,413,9,24,292,1
1765575953644,141,468,12,22,330,1
1765575954656,161,556,14,22,396,1
1765575955658,181,631,18,19,452,1
1765575956659,200,698,21,17,499,1
1765575957659,220,772,25,16,554,1
1765575958660,240,833,28,14,594,1
1765575959660,260,914,30,13,653,1
1765575960661,280,971,35,12,690,1
1765575961662,300,1030,36,12,731,1
1765575962663,320,1091,39,11,770,1
1765575963663,340,1138,39,11,803,1
1765575964723,361,1213,42,14,856,1
1765575965731,381,1282,45,15,900,1
1765575966731,400,1351,47,14,952,1
1765575967732,420,1418,50,14,998,1
1765575968734,440,1483,51,13,1044,1
1765575969734,460,1542,56,13,1083,1
1765575970735,480,1609,58,12,1130,1
1765575971736,500,1680,61,12,1181,1
1765575972737,520,1742,65,11,1222,1
1765575973737,540,1805,67,11,1266,1
1765575974738,559,1868,69,11,1309,1
1765575975738,576,1937,72,10,1360,1
