file,mean_latency_ms,median_latency_ms,p95_latency_ms,mean_jitter_ms,median_jitter_ms,p95_jitter_ms,mean_error,median_error,p95_error,mean_cpu_percent,mean_bandwidth_kbps
baseline_20251212-234426,30.21238828202582,17.0,94.0,4.139150943396227,2.0,15.0,0.0,0.0,0.0,4.75053376365442,132.05010159001358
delay_100ms_20251212-234619,208.78906752411575,202.0,231.0,15.867202572347267,12.0,41.0,0.0,0.0,0.0,5.199292604501608,48.46289800366608
loss_2_20251212-234503,123.09304541124166,14.0,556.1999999999998,33.85836773578914,2.0,201.0,0.0,0.0,0.0,5.6422038742457925,98.81834995674453
loss_5_20251212-234545,31.53460137596115,9.0,209.0,33.96054229057062,2.0,204.0,0.0,0.0,0.0,4.998360987454472,80.49402692895005
