client_id,snapshot_id,seq_num,server_timestamp_ms,recv_time_ms,cpu_percent,perceived_position_error,bandwidth_per_client_kbps,latency_ms,jitter_ms
3,0,16,1765575981401.0,1765575981624.0,0.0,0.0,52.928579691338435,223.0,1.0
1,0,18,1765575981416.0,1765575981626.0,0.0,0.0,43.814141165475085,210.0,13.0
4,0,15,1765575981428.0,1765575981640.0,16.7,0.0,50.14319269950941,212.0,2.0
3,0,17,1765575981441.0,1765575981643.0,0.0,0.0,54.13507348553189,202.0,10.0
1,0,19,1765575981475.0,1765575981650.0,0.0,0.0,46.694808188252075,175.0,27.0
2,0,19,1765575981478.0,1765575981654.0,0.0,0.0,50.12986581969804,176.0,1.0
4,0,16,1765575981454.0,1765575981676.0,20.0,0.0,50.20140970365257,222.0,46.0
2,0,18,1765575981475.0,1765575981680.0,33.3,0.0,48.59968280711916,205.0,17.0
4,0,17,1765575981503.0,1765575981702.0,0.0,0.0,50.882936590534456,199.0,6.0
2,0,20,1765575981516.0,1765575981711.0,0.0,0.0,51.127560967086836,195.0,4.0
4,0,18,1765575981531.0,1765575981728.0,0.0,0.0,51.581809767856505,197.0,2.0
3,0,18,1765575981531.0,1765575981734.0,0.0,0.0,50.38200071452926,203.0,6.0
1,0,20,1765575981531.0,1765575981744.0,0.0,0.0,44.2047101432304,213.0,10.0
3,0,20,1765575981556.0,1765575981748.0,0.0,0.0,49.5463701929418,192.0,21.0
2,0,21,1765575981551.0,1765575981750.0,0.0,0.0,50.98390158333448,199.0,7.0
2,0,22,1765575981569.0,1765575981752.0,50.0,0.0,50.88137886124977,183.0,16.0
3,0,19,1765575981551.0,1765575981765.0,0.0,0.0,50.70189025684217,214.0,31.0
1,0,21,1765575981551.0,1765575981767.0,0.0,0.0,45.00989118198874,216.0,2.0
1,0,22,1765575981556.0,1765575981769.0,0.0,0.0,44.936162849891396,213.0,3.0
3,0,21,1765575981585.0,1765575981777.0,0.0,0.0,54.34687732261412,192.0,21.0
2,0,23,1765575981621.0,1765575981824.0,5.3,0.0,50.94093249924704,203.0,11.0
3,0,22,1765575981632.0,1765575981830.0,0.0,0.0,53.19845868280312,198.0,5.0
4,0,20,1765575981632.0,1765575981834.0,0.0,0.0,47.56857780773319,202.0,4.0
1,0,25,1765575981651.0,1765575981837.0,0.0,0.0,45.520848331204995,186.0,16.0
4,0,19,1765575981621.0,1765575981848.0,0.0,0.0,46.871366945204294,227.0,41.0
1,0,24,1765575981633.0,1765575981851.0,0.0,0.0,44.948342650596686,218.0,9.0
