client_id,snapshot_id,seq_num,server_timestamp_ms,recv_time_ms,cpu_percent,perceived_position_error,bandwidth_per_client_kbps,latency_ms,jitter_ms
1,0,0,1765575946590.0,1765575946592.0,0.0,0.0,131.49709837837838,2.0,0.0
2,0,0,1765575946678.0,1765575946681.0,50.0,0.0,1206.6440552181116,3.0,1.0
1,0,1,1765575946678.0,1765575946687.0,0.0,0.0,42.85746278440919,9.0,6.0
1,0,2,1765575946678.0,1765575946690.0,50.0,0.0,41.497499429114,12.0,3.0
2,0,1,1765575946678.0,1765575946692.0,100.0,0.0,284.8043249160992,14.0,2.0
2,0,2,1765575946679.0,1765575946695.0,0.0,0.0,249.0896523659576,16.0,2.0
1,0,3,1765575946680.0,1765575946696.0,100.0,0.0,39.08010361832546,16.0,0.0
2,0,3,1765575946680.0,1765575946699.0,0.0,0.0,200.85087227564657,19.0,3.0
2,0,4,1765575946701.0,1765575946702.0,50.0,0.0,249.00941475144873,1.0,18.0
1,0,4,1765575946700.0,1765575946706.0,0.0,0.0,51.72291190324608,6.0,5.0
3,0,0,1765575946723.0,1765575946725.0,57.1,0.0,1179.5682822041113,2.0,4.0
2,0,5,1765575946724.0,1765575946729.0,50.0,0.0,153.08458747296214,5.0,3.0
3,0,2,1765575946724.0,1765575946731.0,0.0,0.0,279.9269917441256,7.0,2.0
1,0,5,1765575946724.0,1765575946733.0,100.0,0.0,54.95248228860635,9.0,2.0
3,0,3,1765575946737.0,1765575946740.0,0.0,0.0,247.77984341072087,3.0,6.0
1,0,6,1765575946737.0,1765575946742.0,0.0,0.0,64.1253743167125,5.0,2.0
1,0,7,1765575946744.0,1765575946747.0,50.0,0.0,73.62205308560657,3.0,2.0
3,0,4,1765575946744.0,1765575946750.0,50.0,0.0,222.17765512389863,6.0,3.0
2,0,7,1765575946744.0,1765575946754.0,66.7,0.0,151.85277067658606,10.0,4.0
1,0,8,1765575946762.0,1765575946764.0,50.0,0.0,77.3489226853604,2.0,8.0
2,0,8,1765575946762.0,1765575946765.0,0.0,0.0,153.49928343960312,3.0,1.0
3,0,5,1765575946762.0,1765575946767.0,0.0,0.0,179.37411412258896,5.0,2.0
4,0,0,1765575946762.0,1765575946769.0,50.0,0.0,318.51636879618985,7.0,2.0
4,0,1,1765575946762.0,1765575946771.0,0.0,0.0,240.08395058305067,9.0,2.0
4,0,2,1765575946762.0,1765575946775.0,33.3,0.0,169.40465817654558,13.0,4.0
1,0,9,1765575946777.0,1765575946780.0,0.0,0.0,80.42200613410846,3.0,10.0
2,0,9,1765575946777.0,1765575946782.0,0.0,0.0,146.57241074307322,5.0,2.0
3,0,6,1765575946777.0,1765575946784.0,0.0,0.0,159.62124600416686,7.0,2.0
1,0,10,1765575946786.0,1765575946789.0,50.0,0.0,86.0875328655035,3.0,4.0
4,0,4,1765575946786.0,1765575946791.0,0.0,0.0,205.9879936083483,5.0,2.0
1,0,11,1765575946796.0,1765575946800.0,33.3,0.0,90.64086449137672,4.0,1.0
4,0,5,1765575946796.0,1765575946803.0,0.0,0.0,191.7407237750473,7.0,3.0
1,0,12,1765575946813.0,1765575946816.0,0.0,0.0,92.26858745138544,3.0,4.0
4,0,6,1765575946813.0,1765575946818.0,0.0,0.0,173.92898896006542,5.0,2.0
1,0,13,1765575946825.0,1765575946828.0,0.0,0.0,95.51793544973864,3.0,2.0
4,0,7,1765575946825.0,1765575946830.0,0.0,0.0,170.65887429185182,5.0,2.0
4,0,8,1765575946846.0,1765575946849.0,11.1,0.0,153.76835431194763,3.0,2.0
1,0,15,1765575946863.0,1765575946866.0,16.7,0.0,95.81488868709786,3.0,0.0
1,0,16,1765575946875.0,1765575946877.0,0.0,0.0,98.45176375961854,2.0,1.0
1,0,17,1765575946881.0,1765575946883.0,0.0,0.0,102.6843440256056,2.0,0.0
1,0,18,1765575946897.0,1765575946899.0,0.0,0.0,103.35910608661912,2.0,0.0
2,0,6,1765575946737.0,1765575946946.0,5.3,0.0,70.94969925482204,209.0,207.0
1,0,19,1765575946913.0,1765575946949.0,0.0,0.0,94.33884898242752,36.0,173.0
2,0,12,1765575946949.0,1765575946952.0,0.0,0.0,76.06704917745051,3.0,33.0
2,0,13,1765575946975.0,1765575946977.0,0.0,0.0,76.037866775997,2.0,1.0
2,0,14,1765575946982.0,1765575946985.0,0.0,0.0,80.01878736961696,3.0,1.0
2,0,10,1765575946786.0,1765575946988.0,66.7,0.0,79.3007398711811,202.0,199.0
3,0,1,1765575946723.0,1765575946990.0,0.0,0.0,36.505465434195706,267.0,65.0
