client,mean_rtt,snapshots,retrans
1.0,37.733333333333334,2023.0,1.0
2.0,40.86666666666667,2026.0,1.0
3.0,37.93333333333333,2025.0,1.0
4.0,40.53333333333333,2022.0,1.0
,,,
