time_ms,sent,received,retransmissions,avg_rtt_ms,snapshots_received,client_idx
1765575868959,1,0,0,0,0,3
1765575869960,11,51,1,8,40,3
1765575870960,30,149,1,5,118,3
1765575871961,50,249,1,3,198,3
1765575872962,70,335,1,9,266,3
1765575873968,90,421,1,22,332,3
1765575874969,110,482,1,41,373,3
1765575875970,130,568,1,48,438,3
1765575876970,150,672,1,46,521,3
1765575877971,170,769,1,41,599,3
1765575878971,190,827,1,56,637,3
1765575879971,210,922,1,56,712,3
1765575880972,230,1026,1,52,795,3
1765575881973,249,1123,1,48,873,3
1765575882974,269,1223,1,45,953,3
1765575883974,289,1322,1,42,1032,3
1765575884974,309,1423,1,40,1113,3
1765575885975,329,1494,1,43,1165,3
1765575886976,349,1558,1,43,1217,3
1765575887980,369,1643,1,52,1274,3
1765575888980,389,1746,1,50,1356,3
1765575889981,409,1846,1,47,1436,3
1765575890981,428,1943,1,45,1514,3
1765575891981,448,2043,1,43,1594,3
1765575892984,468,2118,1,46,1649,3
1765575893984,488,2218,1,44,1729,3
1765575894985,508,2317,1,42,1808,3
1765575895985,528,2417,1,41,1888,3
1765575896986,548,2517,1,39,1968,3
1765575897986,567,2593,1,41,2025,3
