time_ms,sent,received,retransmissions,avg_rtt_ms,snapshots_received,client_idx
1765575868926,1,0,0,0,0,2
1765575869927,11,50,1,10,39,2
1765575870928,30,149,1,6,118,2
1765575871929,50,249,1,5,198,2
1765575872931,70,338,1,11,268,2
1765575873941,90,424,1,24,334,2
1765575874951,110,485,1,43,375,2
1765575875952,130,570,1,49,440,2
1765575876953,150,674,1,47,523,2
1765575877953,170,771,1,43,601,2
1765575878954,190,828,1,58,638,2
1765575879954,210,924,1,58,714,2
1765575880955,230,1027,1,54,796,2
1765575881955,250,1125,1,50,875,2
1765575882956,270,1225,1,47,955,2
1765575883957,289,1324,1,45,1034,2
1765575884957,309,1424,1,43,1114,2
1765575885958,329,1495,1,46,1166,2
1765575886958,349,1562,1,46,1220,2
1765575887960,369,1647,1,55,1277,2
1765575888961,389,1747,1,52,1357,2
1765575889962,409,1847,1,50,1437,2
1765575890963,429,1945,1,49,1516,2
1765575891964,449,2045,1,48,1596,2
1765575892964,469,2119,1,50,1650,2
1765575893964,489,2219,1,49,1730,2
1765575894965,508,2319,1,48,1810,2
1765575895965,528,2419,1,47,1890,2
1765575896966,548,2516,1,46,1967,2
1765575897966,567,2594,1,47,2026,2
