time_ms,sent,received,retransmissions,avg_rtt_ms,snapshots_received,client_idx
1765575868909,1,0,0,0,0,1
1765575869909,11,48,1,4,37,1
1765575870910,30,147,1,2,116,1
1765575871910,50,247,1,2,196,1
1765575872911,70,336,1,8,266,1
1765575873916,90,423,1,21,333,1
1765575874917,110,483,1,40,374,1
1765575875918,130,567,1,47,437,1
1765575876919,150,671,1,45,520,1
1765575877919,170,768,1,41,598,1
1765575878920,190,824,1,55,634,1
1765575879921,210,919,1,56,709,1
1765575880921,230,1024,1,52,793,1
1765575881922,249,1121,1,48,871,1
1765575882923,269,1221,1,45,951,1
1765575883923,289,1320,1,42,1030,1
1765575884923,309,1421,1,40,1111,1
1765575885924,329,1489,1,43,1162,1
1765575886925,349,1559,1,44,1217,1
1765575887934,369,1639,1,53,1270,1
1765575888935,389,1742,1,51,1352,1
1765575889935,409,1842,1,48,1432,1
1765575890935,429,1939,1,46,1510,1
1765575891936,448,2039,1,44,1590,1
1765575892936,468,2113,1,46,1644,1
1765575893937,488,2213,1,44,1724,1
1765575894937,508,2313,1,43,1804,1
1765575895938,528,2412,1,41,1883,1
1765575896938,548,2512,1,40,1963,1
1765575897939,567,2591,1,41,2023,1
