time_ms,sent,received,retransmissions,avg_rtt_ms,snapshots_received,client_idx
1765558218097,1,3,0,1,1,3
1765558219097,20,100,0,0,79,3
1765558220098,40,200,0,1,159,3
1765558221099,60,300,0,1,239,3
1765558222131,81,403,0,1,321,3
1765558223132,101,503,0,1,401,3
1765558224133,121,602,0,1,480,3
1765558225134,140,700,0,1,559,3
1765558226134,160,799,0,1,638,3
1765558230068,180,903,0,1,722,3
1765558231068,200,1003,0,1,802,3
1765558232069,220,1103,0,1,882,3
1765558233070,240,1203,0,2,962,3
1765558234070,260,1303,0,2,1042,3
1765558235071,280,1403,0,2,1122,3
1765558236072,300,1500,0,2,1199,3
1765558237072,319,1596,0,2,1276,3
1765558238073,339,1696,0,2,1356,3
1765558239074,359,1796,0,2,1436,3
1765558240075,379,1896,0,2,1516,3
1765558241076,399,1996,0,2,1596,3
1765558242078,419,2096,0,2,1676,3
1765558243078,439,2196,0,2,1756,3
1765558244079,459,2296,0,2,1836,3
1765558245080,479,2396,0,2,1916,3
1765558246080,499,2496,0,2,1996,3
1765558247081,519,2593,0,2,2073,3
1765558248082,519,2594,0,2,2074,3
