time_ms,sent,received,retransmissions,avg_rtt_ms,snapshots_received,client_idx
1765558218013,1,1,0,1,0,1
1765558219013,21,96,0,4,75,1
1765558220014,40,196,0,6,155,1
1765558221015,60,294,0,7,233,1
1765558222015,80,394,0,8,313,1
1765558223016,100,494,0,8,393,1
1765558224017,120,594,0,9,473,1
1765558225017,140,694,0,9,553,1
1765558226018,160,793,0,9,632,1
1765558229951,180,896,0,9,715,1
1765558230952,200,996,0,8,795,1
1765558231952,220,1096,0,8,875,1
1765558232953,240,1192,0,7,952,1
1765558233954,259,1291,0,7,1031,1
1765558234955,279,1391,0,7,1111,1
1765558235956,299,1489,0,6,1189,1
1765558236956,319,1589,0,6,1269,1
1765558237957,339,1689,0,6,1349,1
1765558238957,359,1789,0,6,1429,1
1765558239969,379,1889,0,5,1509,1
1765558241054,401,1999,0,5,1597,1
1765558242055,421,2099,0,5,1677,1
1765558243056,441,2195,0,5,1754,1
1765558244057,460,2294,0,5,1833,1
1765558245057,480,2394,0,5,1913,1
1765558246058,500,2494,0,5,1993,1
1765558247059,519,2592,0,5,2072,1
