time_ms,sent,received,retransmissions,avg_rtt_ms,snapshots_received,client_idx
1765558218048,1,3,0,0,1,2
1765558219049,20,98,0,6,77,2
1765558220049,40,198,0,4,157,2
1765558221050,60,298,0,3,237,2
1765558222131,82,406,0,3,323,2
1765558223132,102,506,0,2,403,2
1765558224133,122,604,0,2,482,2
1765558225133,141,703,0,3,561,2
1765558226134,161,802,0,2,640,2
1765558230068,181,902,0,2,720,2
1765558231068,201,1002,0,2,800,2
1765558232069,221,1102,0,2,880,2
1765558233070,241,1202,0,2,960,2
1765558234070,261,1302,0,2,1040,2
1765558235071,281,1402,0,3,1120,2
1765558236072,301,1498,0,3,1197,2
1765558237073,320,1595,0,2,1274,2
1765558238073,340,1695,0,2,1354,2
1765558239074,360,1795,0,2,1434,2
1765558240076,380,1895,0,3,1514,2
1765558241076,400,1995,0,3,1594,2
1765558242078,420,2095,0,3,1674,2
1765558243078,440,2195,0,3,1754,2
1765558244079,460,2295,0,3,1834,2
1765558245080,480,2395,0,3,1914,2
1765558246080,500,2495,0,3,1994,2
1765558247081,519,2591,0,3,2071,2
