time_ms,sent,received,retransmissions,avg_rtt_ms,snapshots_received,client_idx
1765558218161,1,0,0,0,0,4
1765558219163,20,100,0,4,79,4
1765558220164,40,200,0,7,159,4
1765558221165,60,298,0,7,237,4
1765558222166,80,398,0,7,317,4
1765558223167,100,498,0,8,397,4
1765558224168,120,598,0,9,477,4
1765558225170,140,698,0,9,557,4
1765558226170,160,797,0,9,636,4
1765558230104,180,901,0,8,720,4
1765558231104,200,1001,0,8,800,4
1765558232105,220,1101,0,8,880,4
1765558233106,240,1200,0,7,959,4
1765558234106,259,1296,0,7,1036,4
1765558235107,279,1396,0,7,1116,4
1765558236108,299,1494,0,6,1194,4
1765558237109,319,1594,0,6,1274,4
1765558238109,339,1694,0,6,1354,4
1765558239110,359,1794,0,6,1434,4
1765558240111,379,1894,0,6,1514,4
1765558241111,399,1994,0,5,1594,4
1765558242112,419,2094,0,5,1674,4
1765558243113,439,2194,0,5,1754,4
1765558244113,459,2293,0,5,1833,4
1765558245114,479,2389,0,5,1910,4
1765558246115,498,2489,0,5,1990,4
1765558247115,518,2586,0,5,2067,4
1765558248116,519,2588,0,5,2068,4
