time_ms,sent,received,retransmissions,avg_rtt_ms,snapshots_received,client_idx
1765575980726,1,0,0,0,0,2
1765575981727,16,35,0,203,22,2
1765575982728,36,84,0,199,50,2
1765575983728,56,129,0,198,76,2
1765575984729,76,178,0,200,104,2
1765575985729,96,222,0,201,129,2
1765575986733,116,266,6,198,159,2
1765575987736,136,322,6,210,184,2
1765575988737,156,373,6,209,214,2
1765575989739,176,419,6,219,240,2
1765575990740,196,464,6,217,265,2
1765575991740,216,513,6,215,294,2
1765575992741,236,561,6,214,322,2
1765575993742,255,607,6,213,349,2
1765575994742,275,655,6,211,377,2
1765575995809,297,707,6,213,408,2
1765575996810,317,754,6,213,435,2
1765575997811,336,804,6,213,464,2
1765575998813,356,852,6,212,492,2
1765575999815,376,897,6,211,518,2
1765576000815,396,947,6,210,548,2
1765576001816,416,992,6,210,573,2
1765576002817,436,1041,6,209,602,2
1765576003819,456,1090,6,209,631,2
1765576004821,476,1136,6,209,658,2
1765576005822,496,1184,6,208,685,2
1765576006822,516,1231,6,208,712,2
1765576007825,536,1278,6,208,740,2
1765576008826,555,1326,6,208,768,2
1765576009835,573,1373,6,208,795,2
