time_ms,sent,received,retransmissions,avg_rtt_ms,snapshots_received,client_idx
1765575980808,1,0,0,0,0,3
1765575981809,16,35,0,204,21,3
1765575982810,36,83,0,201,49,3
1765575983824,57,130,0,204,76,3
1765575984824,76,179,0,203,105,3
1765575985825,96,224,0,203,131,3
1765575986825,116,270,7,208,155,3
1765575987826,136,325,7,209,185,3
1765575988826,156,371,7,208,211,3
1765575989827,176,417,7,217,238,3
1765575990828,196,465,7,216,265,3
1765575991829,216,515,7,215,295,3
1765575992830,236,559,7,214,319,3
1765575993831,256,606,7,212,347,3
1765575994832,276,654,7,212,377,3
1765575995840,296,706,7,214,407,3
1765575996841,315,754,7,213,434,3
1765575997842,335,801,7,212,462,3
1765575998842,355,851,7,212,492,3
1765575999843,375,899,7,211,520,3
1765576000844,395,946,7,211,546,3
1765576001847,415,992,7,210,573,3
1765576002847,435,1044,7,210,605,3
1765576003848,455,1090,7,210,631,3
1765576004848,475,1138,7,209,660,3
1765576005849,494,1189,7,209,690,3
1765576006849,514,1236,7,209,718,3
1765576007855,534,1284,7,209,746,3
1765576008856,554,1333,7,209,774,3
1765576009857,573,1380,7,209,802,3
