time_ms,sent,received,retransmissions,avg_rtt_ms,snapshots_received,client_idx
1765575980843,1,0,0,0,0,4
1765575981844,17,36,0,195,22,4
1765575982844,37,85,0,201,51,4
1765575983845,57,133,0,203,79,4
1765575984846,77,183,0,202,109,4
1765575985848,97,229,0,202,135,4
1765575986851,117,278,6,211,162,4
1765575987852,137,332,6,210,192,4
1765575988853,157,378,6,209,218,4
1765575989854,177,426,7,215,245,4
1765575990855,196,473,7,214,273,4
1765575991856,216,521,7,213,301,4
1765575992857,236,570,7,211,330,4
1765575993857,256,620,7,210,360,4
1765575994857,276,663,7,210,385,4
1765575995858,296,718,7,212,417,4
1765575996858,316,764,7,211,444,4
1765575997859,336,811,7,211,471,4
1765575998860,356,860,7,210,500,4
1765575999861,376,909,7,210,529,4
1765576000864,395,956,7,209,556,4
1765576001866,415,1002,7,209,583,4
1765576002867,435,1049,7,209,610,4
1765576003867,455,1097,7,208,639,4
1765576004868,475,1144,7,208,665,4
1765576005868,495,1194,7,208,695,4
1765576006869,515,1242,7,207,723,4
1765576007870,535,1289,7,207,751,4
1765576008871,555,1337,7,207,778,4
1765576009872,574,1386,7,207,808,4
