time_ms,sent,received,retransmissions,avg_rtt_ms,snapshots_received,client_idx
1765575980616,1,0,0,0,0,1
1765575981617,17,31,0,203,18,1
1765575982617,36,80,0,198,47,1
1765575983618,56,127,0,202,74,1
1765575984618,76,177,0,202,104,1
1765575985619,96,224,0,204,131,1
1765575986629,116,256,4,203,153,1
1765575987629,136,321,6,212,182,1
1765575988639,156,370,6,210,211,1
1765575989639,176,416,6,221,237,1
1765575990641,196,464,6,219,265,1
1765575991641,216,510,6,217,292,1
1765575992642,236,557,6,216,319,1
1765575993642,256,608,6,215,349,1
1765575994649,276,657,6,214,379,1
1765575995674,296,706,6,215,407,1
1765575996675,316,754,6,214,435,1
1765575997676,336,803,6,214,464,1
1765575998676,356,849,6,213,491,1
1765575999684,376,897,6,213,519,1
1765576000684,396,946,6,212,548,1
1765576001688,416,994,6,211,576,1
1765576002688,435,1042,6,211,604,1
1765576003689,455,1091,6,211,633,1
1765576004690,475,1137,6,210,659,1
1765576005690,495,1185,6,210,687,1
1765576006691,515,1235,6,210,718,1
1765576007691,535,1283,6,209,746,1
1765576008702,555,1332,6,209,774,1
1765576009704,573,1379,6,209,802,1
